,Longitude,Latitude,Code,Metro,Cluster,Region
1471,-84.19609833,31.53219986,ABY,ABY,13,M
1472,-84.18830109,32.11169815,VWT,VWT,13,M
1473,-84.1832962,39.66669846,DWF,DAY,12,L
1474,-84.17970276,44.24470139,WBK,WBK,12,L
1475,-84.16670227,31.58329964,NAB,ABY,13,M
1476,-84.08170319,43.53170013,MBS,MBS,12,L
1477,-84.07689667,37.08720016,LOZ,LOZ,14,N
1478,-84.03330231,41.90000153,ADG,ADG,12,L
1479,-84.02749634,40.70859909,AOH,AOH,12,L
1480,-83.99250031,35.81219864,TYS,TYS,13,M
1481,-83.96219635,33.97809982,LZU,LZU,13,M
1482,-83.88059998,30.90250015,TVI,TVI,13,Florida
1483,-83.84020233,39.84019852,SGH,SGH,12,L
1484,-83.83329773,31.51670074,SYV,SYV,13,M
1485,-83.83329773,34.29999924,GVL,GVL,13,M
1486,-83.80280304,31.06940079,MGR,MGR,13,M
1487,-83.80079651,41.59080124,TOL,TOL,12,L
1488,-83.78330231,31.18330002,MUL,MGR,13,M
1489,-83.75,42.29999924,ARB,ARB,12,L
1490,-83.75,46.01670074,DRE,DRE,12,L
1491,-83.74169922,42.96670151,FNT,FNT,12,L
1492,-83.74079895,39.49309921,ILN,ILN,12,L
1493,-83.71669769,33.98329926,WDR,WDR,13,M
1494,-83.66639709,41.01580048,FDY,FDY,12,L
1495,-83.65000153,32.68330002,QMP,MCN,13,M
1496,-83.64920044,32.69290161,MCN,MCN,13,M
1497,-83.64779663,32.6955986,WRB,WRB,13,M
1498,-83.58329773,30.11669922,FPY,FPY,13,Florida
1499,-83.56199646,32.82210159,MAC,MCN,13,M
1500,-83.55580139,45.08169937,APN,APN,12,L
1501,-83.55000305,41.65000153,TDZ,TOL,12,L
1502,-83.5306015,42.2378006,YIP,DTT,12,L
1503,-83.51860046,35.85139847,GKT,GKT,13,M
1504,-83.48329926,31.43330002,TMA,TMA,13,M
1505,-83.48329926,44.26670074,ECA,ECA,12,L
1506,-83.44529724,43.45859909,TZC,TZC,12,L
1507,-83.41809845,42.66500092,PTK,PTK,12,L
1508,-83.36669922,36.18330002,MOR,MOR,13,M
1509,-83.3443985,42.21670151,DTW,DTT,12,L
1510,-83.33329773,44.43330002,OSC,OSC,12,L
1511,-83.32689667,33.94829941,AHN,AHN,13,M
1512,-83.29750061,34.59209824,TOC,TOC,13,M
1513,-83.27690125,30.78219986,VLD,VLD,13,Florida
1514,-83.23329926,33.08330154,MLJ,MLJ,13,M
1515,-83.19270325,30.96769905,VAD,VLD,13,Florida
1516,-83.1785965,42.31280136,DTT,DTT,12,L
1517,-83.16670227,42.29999924,DEO,DEO,12,L
1518,-83.13330078,40.58330154,MNN,MNN,12,L
1519,-83.11669922,29.63330078,CTY,CTY,13,Florida
1520,-83.07330322,40.0780983,OSU,CMH,12,L
1521,-83.05000305,42.61669922,UIZ,UIZ,12,L
1522,-83.03330231,29.13330078,CDK,CDK,13,Florida
1523,-83.00830078,42.40670013,DET,DTT,12,L
1524,-83,41.45000076,SKY,SKY,12,L
1525,-82.98609924,32.56190109,DBN,DBN,13,M
1526,-82.96669769,42.96670151,NFB,NFB,12,L
1527,-82.93219757,39.81420135,LCK,CMH,12,L
1528,-82.90000153,32.06669998,MQW,MQW,13,M
1529,-82.88330078,42.58330154,MTC,MTC,12,L
1530,-82.87830353,39.99110031,CMH,CMH,12,L
1531,-82.86669922,24.61669922,RBN,RBN,13,Florida
1532,-82.84999847,38.83330154,PMH,PMH,14,N
1533,-82.83329773,34.68330002,CEU,CEU,13,M
1534,-82.8167038,36.19139862,GCY,GCY,13,M
1535,-82.75720215,40.73669815,GQQ,GQQ,12,L
1536,-82.70999908,34.49359894,AND,AND,13,M
1537,-82.69999695,34.88330078,LQK,LQK,13,M
1538,-82.6832962,27.91670036,PIE,TPA,13,Florida
1539,-82.63690186,37.75109863,UXN,UXN,14,N
1540,-82.62529755,27.76689911,SPG,PIE,13,Florida
1541,-82.5766983,30.18190002,LCQ,LCQ,13,Florida
1542,-82.5667038,36.98329926,LNP,LNP,14,N
1543,-82.56639862,37.56169891,PVL,PVL,14,N
1544,-82.55809784,38.36669922,HTS,HTS,14,N
1545,-82.55419922,27.39389992,SRQ,SRQ,13,Florida
1546,-82.54109955,35.43500137,AVL,AVL,13,M
1547,-82.53530121,27.97310066,TPA,TPA,13,Florida
